旅館名稱,旅館中文名稱,商家,內容,價錢,旅館地址
Shizuoka Town Hotel,靜岡小鎮酒店,Hotels.com,"客房, 1 張小型雙人床, 非吸煙房 (免費早餐, 免費無線上網)",1744,"葵區呉服町2-8-8, 靜岡, 靜崗縣, 日本"
Shizuoka Town Hotel,靜岡小鎮酒店,Expedia.com.tw,"雙人房, 1 張小型雙人床, 吸煙房 (免費早餐, 免費無線上網)",1744,"葵區呉服町2-8-8, 靜岡, 靜崗縣, 日本"
Shizuoka Town Hotel,靜岡小鎮酒店,Expedia.com.tw,"客房, 1 張小型雙人床, 非吸煙房 (免費早餐, 免費無線上網)",1744,"葵區呉服町2-8-8, 靜岡, 靜崗縣, 日本"
Shizuoka Town Hotel,靜岡小鎮酒店,Priceline.com,雙人房 - 附小型雙人床 - 禁菸 - 不退款 - 免費WiFi,1798,"葵區呉服町2-8-8, 靜岡, 靜崗縣, 日本"
Shizuoka Town Hotel,靜岡小鎮酒店,Priceline.com,雙人房 - 附小型雙人床 - 可吸菸 - 不退款 - 免費WiFi,1798,"葵區呉服町2-8-8, 靜岡, 靜崗縣, 日本"
Shizuoka Town Hotel,靜岡小鎮酒店,Jalan.net,半雙人床,1847,"葵區呉服町2-8-8, 靜岡, 靜崗縣, 日本"
Shizuoka Town Hotel,靜岡小鎮酒店,Trip.com,雙床房,2272,"葵區呉服町2-8-8, 靜岡, 靜崗縣, 日本"
Shizuoka Town Hotel,靜岡小鎮酒店,Booking.com,雙床房－可吸菸 - 不退款 - 免費WiFi,2234,"葵區呉服町2-8-8, 靜岡, 靜崗縣, 日本"
Shizuoka Town Hotel,靜岡小鎮酒店,Hotels.com,"雙人房, 吸煙房 (免費早餐, 免費無線上網)",2167,"葵區呉服町2-8-8, 靜岡, 靜崗縣, 日本"
Shizuoka Town Hotel,靜岡小鎮酒店,Expedia.com.tw,"雙人房, 吸煙房 (免費早餐, 免費無線上網)",2167,"葵區呉服町2-8-8, 靜岡, 靜崗縣, 日本"
Shizuoka Town Hotel,靜岡小鎮酒店,Priceline.com,雙床房－可吸菸 - 不退款 - 免費WiFi,2234,"葵區呉服町2-8-8, 靜岡, 靜崗縣, 日本"
Shizuoka Town Hotel,靜岡小鎮酒店,Jalan.net,雙人,2146,"葵區呉服町2-8-8, 靜岡, 靜崗縣, 日本"
Shizuoka Town Hotel,靜岡小鎮酒店,Jalan.net,兩小床,2282,"葵區呉服町2-8-8, 靜岡, 靜崗縣, 日本"
Kuretake Inn Premium Shizuoka Ekimae,吳竹高級飯店靜岡站前,Trip.com,入住時指定房型 (免費WiFi),2521,"榮町1-15, 靜岡, 靜崗縣, 日本"
Kuretake Inn Premium Shizuoka Ekimae,吳竹高級飯店靜岡站前,Booking.com,入住時分配客房（2成人） - 免費WiFi,2970,"榮町1-15, 靜岡, 靜崗縣, 日本"
Kuretake Inn Premium Shizuoka Ekimae,吳竹高級飯店靜岡站前,Agoda.com,ROH,2791,"榮町1-15, 靜岡, 靜崗縣, 日本"
Kuretake Inn Premium Shizuoka Ekimae,吳竹高級飯店靜岡站前,Trip.com,標準房 (免費WiFi),2841,"榮町1-15, 靜岡, 靜崗縣, 日本"
Kuretake Inn Premium Shizuoka Ekimae,吳竹高級飯店靜岡站前,Trip.com,高級房 (免費WiFi),2841,"榮町1-15, 靜岡, 靜崗縣, 日本"
Kuretake Inn Premium Shizuoka Ekimae,吳竹高級飯店靜岡站前,Agoda.com,【限女性】客房,2968,"榮町1-15, 靜岡, 靜崗縣, 日本"
Kuretake Inn Premium Shizuoka Ekimae,吳竹高級飯店靜岡站前,Agoda.com,隨機安排房型,3050,"榮町1-15, 靜岡, 靜崗縣, 日本"
Kuretake Inn Premium Shizuoka Ekimae,吳竹高級飯店靜岡站前,Agoda.com,Budget Twin Room Lower Floor,3126,"榮町1-15, 靜岡, 靜崗縣, 日本"
Kuretake Inn Premium Shizuoka Ekimae,吳竹高級飯店靜岡站前,Agoda.com,Standard Double Room,3126,"榮町1-15, 靜岡, 靜崗縣, 日本"
