地區,搜尋條件
台北市,TP
新北市,NP
基隆市,KL
桃園縣,TY
新竹縣,SC
苗栗縣,ML
台中市,TC
彰化縣,CH
南投縣,NT
雲林縣,UL
嘉義縣,CY
台南市,TN
高雄市,HS
屏東縣,PT
宜蘭縣,YL
花蓮縣,HL
台東縣,TT
澎湖縣,PH
金門縣,KM
馬祖,MZ
